Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1085632k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-19T13:38:15.485-0800: 1.244: [GC (Allocation Failure) [PSYoungGen: 2097664K->333278K(2446848K)] 2097664K->333286K(8039424K), 0.1553360 secs] [Times: user=0.17 sys=0.36, real=0.16 secs] 
2021-01-19T13:38:16.046-0800: 1.805: [GC (Allocation Failure) [PSYoungGen: 2430942K->349175K(2446848K)] 2430950K->371452K(8039424K), 0.1610227 secs] [Times: user=0.17 sys=0.40, real=0.16 secs] 
2021-01-19T13:38:16.487-0800: 2.246: [GC (Allocation Failure) [PSYoungGen: 2446839K->349181K(2446848K)] 2469116K->394536K(8039424K), 0.0548770 secs] [Times: user=0.28 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:16.824-0800: 2.583: [GC (Allocation Failure) [PSYoungGen: 2446845K->349183K(2446848K)] 2492200K->408516K(8039424K), 0.0399953 secs] [Times: user=0.27 sys=0.02, real=0.04 secs] 
2021-01-19T13:38:17.125-0800: 2.884: [GC (Allocation Failure) [PSYoungGen: 2446847K->349166K(2446848K)] 2506180K->429640K(8039424K), 0.0525009 secs] [Times: user=0.28 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:17.457-0800: 3.216: [GC (Allocation Failure) [PSYoungGen: 2446830K->349174K(2356736K)] 2527304K->456262K(7949312K), 0.0589079 secs] [Times: user=0.30 sys=0.06, real=0.06 secs] 
2021-01-19T13:38:17.765-0800: 3.525: [GC (Allocation Failure) [PSYoungGen: 2356726K->369608K(2401792K)] 2463814K->477061K(7994368K), 0.0412222 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
2021-01-19T13:38:18.087-0800: 3.846: [GC (Allocation Failure) [PSYoungGen: 2377160K->365562K(2404864K)] 2484613K->473015K(7997440K), 0.0412673 secs] [Times: user=0.27 sys=0.01, real=0.04 secs] 
2021-01-19T13:38:18.407-0800: 4.166: [GC (Allocation Failure) [PSYoungGen: 2376698K->382827K(2394112K)] 2484151K->490398K(7986688K), 0.0431658 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:38:18.732-0800: 4.491: [GC (Allocation Failure) [PSYoungGen: 2393963K->368407K(2401792K)] 2501534K->485535K(7994368K), 0.0437909 secs] [Times: user=0.26 sys=0.02, real=0.04 secs] 
2021-01-19T13:38:19.052-0800: 4.811: [GC (Allocation Failure) [PSYoungGen: 2373911K->319272K(2324992K)] 2491039K->485206K(7917568K), 0.0479948 secs] [Times: user=0.18 sys=0.07, real=0.05 secs] 
2021-01-19T13:38:19.361-0800: 5.120: [GC (Allocation Failure) [PSYoungGen: 2324776K->314283K(2388480K)] 2490710K->528005K(7981056K), 0.0483472 secs] [Times: user=0.17 sys=0.07, real=0.04 secs] 
2021-01-19T13:38:19.692-0800: 5.451: [GC (Allocation Failure) [PSYoungGen: 2303403K->322023K(2311168K)] 2517125K->582382K(7903744K), 0.0460655 secs] [Times: user=0.19 sys=0.07, real=0.04 secs] 
2021-01-19T13:38:19.998-0800: 5.757: [GC (Allocation Failure) [PSYoungGen: 2311143K->327834K(2392576K)] 2571502K->629375K(7985152K), 0.0477572 secs] [Times: user=0.17 sys=0.05, real=0.05 secs] 
2021-01-19T13:38:20.318-0800: 6.077: [GC (Allocation Failure) [PSYoungGen: 2315930K->307763K(2296320K)] 2617471K->662211K(7888896K), 0.0534362 secs] [Times: user=0.16 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:20.636-0800: 6.395: [GC (Allocation Failure) [PSYoungGen: 2295859K->324612K(2392576K)] 2650307K->723253K(7985152K), 0.0519304 secs] [Times: user=0.18 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:20.951-0800: 6.710: [GC (Allocation Failure) [PSYoungGen: 2311684K->307716K(2390528K)] 2710325K->754989K(7983104K), 0.0461046 secs] [Times: user=0.18 sys=0.07, real=0.04 secs] 
2021-01-19T13:38:21.263-0800: 7.022: [GC (Allocation Failure) [PSYoungGen: 2294788K->329103K(2396672K)] 2742061K->821298K(7989248K), 0.0481887 secs] [Times: user=0.19 sys=0.07, real=0.05 secs] 
2021-01-19T13:38:21.563-0800: 7.323: [GC (Allocation Failure) [PSYoungGen: 2322319K->319855K(2392576K)] 2814514K->863465K(7985152K), 0.0987069 secs] [Times: user=0.17 sys=0.09, real=0.10 secs] 
2021-01-19T13:38:22.071-0800: 7.831: [GC (Allocation Failure) [PSYoungGen: 2313071K->316559K(2401792K)] 2856681K->914579K(7994368K), 0.1080373 secs] [Times: user=0.19 sys=0.10, real=0.11 secs] 
2021-01-19T13:38:22.437-0800: 8.196: [GC (Allocation Failure) [PSYoungGen: 2321551K->318482K(2399232K)] 2919571K->967527K(7991808K), 0.0659886 secs] [Times: user=0.20 sys=0.12, real=0.07 secs] 
2021-01-19T13:38:22.786-0800: 8.545: [GC (Allocation Failure) [PSYoungGen: 2323474K->324315K(2408960K)] 2972519K->1017607K(8001536K), 0.0545157 secs] [Times: user=0.21 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:23.101-0800: 8.860: [GC (Allocation Failure) [PSYoungGen: 2342107K->308706K(2404864K)] 3035399K->1049931K(7997440K), 0.0554607 secs] [Times: user=0.21 sys=0.09, real=0.05 secs] 
2021-01-19T13:38:23.420-0800: 9.180: [GC (Allocation Failure) [PSYoungGen: 2326498K->321000K(2414080K)] 3067723K->1101017K(8006656K), 0.0507776 secs] [Times: user=0.22 sys=0.08, real=0.05 secs] 
2021-01-19T13:38:23.728-0800: 9.487: [GC (Allocation Failure) [PSYoungGen: 2349544K->319136K(2410496K)] 3129561K->1143963K(8003072K), 0.0564148 secs] [Times: user=0.21 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:24.048-0800: 9.807: [GC (Allocation Failure) [PSYoungGen: 2347680K->325410K(2422272K)] 3172507K->1195958K(8014848K), 0.0558044 secs] [Times: user=0.19 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:24.385-0800: 10.144: [GC (Allocation Failure) [PSYoungGen: 2369314K->327332K(2417664K)] 3239862K->1245758K(8010240K), 0.0578988 secs] [Times: user=0.22 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:24.710-0800: 10.469: [GC (Allocation Failure) [PSYoungGen: 2371236K->320817K(2429440K)] 3289662K->1284250K(8022016K), 0.0621184 secs] [Times: user=0.22 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:25.023-0800: 10.782: [GC (Allocation Failure) [PSYoungGen: 2381105K->314379K(2426880K)] 3344538K->1325180K(8019456K), 0.0544075 secs] [Times: user=0.19 sys=0.08, real=0.05 secs] 
2021-01-19T13:38:25.338-0800: 11.097: [GC (Allocation Failure) [PSYoungGen: 2374667K->322442K(2434560K)] 3385468K->1374719K(8027136K), 0.0635619 secs] [Times: user=0.18 sys=0.06, real=0.07 secs] 
2021-01-19T13:38:25.681-0800: 11.440: [GC (Allocation Failure) [PSYoungGen: 2392458K->321771K(2431488K)] 3444735K->1418668K(8024064K), 0.0629084 secs] [Times: user=0.16 sys=0.05, real=0.06 secs] 
2021-01-19T13:38:26.017-0800: 11.776: [GC (Allocation Failure) [PSYoungGen: 2391787K->331924K(2438144K)] 3488684K->1471215K(8030720K), 0.0624261 secs] [Times: user=0.17 sys=0.06, real=0.07 secs] 
2021-01-19T13:38:26.343-0800: 12.102: [GC (Allocation Failure) [PSYoungGen: 2411668K->335652K(2437632K)] 3550959K->1523268K(8030208K), 0.0855028 secs] [Times: user=0.20 sys=0.08, real=0.08 secs] 
2021-01-19T13:38:26.693-0800: 12.452: [GC (Allocation Failure) [PSYoungGen: 2415396K->329717K(2439680K)] 3603012K->1567340K(8032256K), 0.0644709 secs] [Times: user=0.18 sys=0.07, real=0.06 secs] 
2021-01-19T13:38:27.036-0800: 12.796: [GC (Allocation Failure) [PSYoungGen: 2410997K->335033K(2437632K)] 3648620K->1613493K(8030208K), 0.0458740 secs] [Times: user=0.21 sys=0.08, real=0.05 secs] 
2021-01-19T13:38:27.355-0800: 13.114: [GC (Allocation Failure) [PSYoungGen: 2416313K->329541K(2442240K)] 3694773K->1651908K(8034816K), 0.0509703 secs] [Times: user=0.19 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:27.680-0800: 13.439: [GC (Allocation Failure) [PSYoungGen: 2415429K->318339K(2439680K)] 3737796K->1683185K(8032256K), 0.0479994 secs] [Times: user=0.20 sys=0.06, real=0.04 secs] 
2021-01-19T13:38:27.994-0800: 13.753: [GC (Allocation Failure) [PSYoungGen: 2404227K->335935K(2441728K)] 3769073K->1745839K(8034304K), 0.0521207 secs] [Times: user=0.19 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:28.330-0800: 14.089: [GC (Allocation Failure) [PSYoungGen: 2424383K->321016K(2442240K)] 3834287K->1778640K(8034816K), 0.0482511 secs] [Times: user=0.20 sys=0.06, real=0.04 secs] 
2021-01-19T13:38:28.657-0800: 14.417: [GC (Allocation Failure) [PSYoungGen: 2409464K->326582K(2445824K)] 3867088K->1829226K(8038400K), 0.0477446 secs] [Times: user=0.18 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:28.988-0800: 14.747: [GC (Allocation Failure) [PSYoungGen: 2420150K->324859K(2443776K)] 3922794K->1869698K(8036352K), 0.0472169 secs] [Times: user=0.19 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:29.312-0800: 15.071: [GC (Allocation Failure) [PSYoungGen: 2418427K->328563K(2449408K)] 3963266K->1907372K(8041984K), 0.0454879 secs] [Times: user=0.22 sys=0.05, real=0.04 secs] 
2021-01-19T13:38:29.624-0800: 15.383: [GC (Allocation Failure) [PSYoungGen: 2429811K->324118K(2447872K)] 4008620K->1939219K(8040448K), 0.0483645 secs] [Times: user=0.22 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:29.951-0800: 15.710: [GC (Allocation Failure) [PSYoungGen: 2425366K->316447K(2450944K)] 4040467K->1972821K(8043520K), 0.0449704 secs] [Times: user=0.19 sys=0.06, real=0.04 secs] 
2021-01-19T13:38:30.272-0800: 16.032: [GC (Allocation Failure) [PSYoungGen: 2422303K->320385K(2450944K)] 4078677K->2019470K(8043520K), 0.0446690 secs] [Times: user=0.21 sys=0.07, real=0.04 secs] 
2021-01-19T13:38:30.591-0800: 16.350: [GC (Allocation Failure) [PSYoungGen: 2426241K->328629K(2452480K)] 4125326K->2066643K(8045056K), 0.0867639 secs] [Times: user=0.15 sys=0.04, real=0.08 secs] 
