Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(3749580k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-19T14:20:06.073-0800: 1.224: [GC (Allocation Failure) 2021-01-19T14:20:06.073-0800: 1.224: [DefNew: 2236928K->279615K(2516544K), 0.1729894 secs] 2236928K->319509K(8108992K), 0.1730924 secs] [Times: user=0.10 sys=0.08, real=0.17 secs] 
2021-01-19T14:20:06.650-0800: 1.802: [GC (Allocation Failure) 2021-01-19T14:20:06.650-0800: 1.802: [DefNew: 2516543K->279615K(2516544K), 0.2354728 secs] 2556437K->404631K(8108992K), 0.2355814 secs] [Times: user=0.12 sys=0.11, real=0.23 secs] 
2021-01-19T14:20:07.199-0800: 2.350: [GC (Allocation Failure) 2021-01-19T14:20:07.199-0800: 2.350: [DefNew: 2516543K->279615K(2516544K), 0.1076058 secs] 2641559K->476986K(8108992K), 0.1076874 secs] [Times: user=0.09 sys=0.02, real=0.11 secs] 
2021-01-19T14:20:07.605-0800: 2.757: [GC (Allocation Failure) 2021-01-19T14:20:07.605-0800: 2.757: [DefNew: 2516543K->279615K(2516544K), 0.1075974 secs] 2713914K->556487K(8108992K), 0.1076817 secs] [Times: user=0.09 sys=0.02, real=0.11 secs] 
2021-01-19T14:20:08.030-0800: 3.181: [GC (Allocation Failure) 2021-01-19T14:20:08.030-0800: 3.181: [DefNew: 2516543K->279615K(2516544K), 0.0886005 secs] 2793415K->624693K(8108992K), 0.0886922 secs] [Times: user=0.07 sys=0.02, real=0.08 secs] 
2021-01-19T14:20:08.428-0800: 3.579: [GC (Allocation Failure) 2021-01-19T14:20:08.428-0800: 3.580: [DefNew: 2516543K->279615K(2516544K), 0.0930355 secs] 2861621K->703760K(8108992K), 0.0931272 secs] [Times: user=0.07 sys=0.02, real=0.10 secs] 
2021-01-19T14:20:08.817-0800: 3.969: [GC (Allocation Failure) 2021-01-19T14:20:08.817-0800: 3.969: [DefNew: 2516543K->279615K(2516544K), 0.0933582 secs] 2940688K->790874K(8108992K), 0.0934485 secs] [Times: user=0.07 sys=0.02, real=0.10 secs] 
2021-01-19T14:20:09.193-0800: 4.344: [GC (Allocation Failure) 2021-01-19T14:20:09.193-0800: 4.345: [DefNew: 2516543K->279615K(2516544K), 0.0848652 secs] 3027802K->872612K(8108992K), 0.0849543 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-19T14:20:09.572-0800: 4.723: [GC (Allocation Failure) 2021-01-19T14:20:09.572-0800: 4.723: [DefNew: 2516543K->279615K(2516544K), 0.0888848 secs] 3109540K->958334K(8108992K), 0.0889596 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:09.935-0800: 5.087: [GC (Allocation Failure) 2021-01-19T14:20:09.935-0800: 5.087: [DefNew: 2516543K->279614K(2516544K), 0.0921831 secs] 3195262K->1043483K(8108992K), 0.0922698 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:10.320-0800: 5.472: [GC (Allocation Failure) 2021-01-19T14:20:10.320-0800: 5.472: [DefNew: 2516542K->279615K(2516544K), 0.0847712 secs] 3280411K->1114895K(8108992K), 0.0848632 secs] [Times: user=0.07 sys=0.02, real=0.08 secs] 
2021-01-19T14:20:10.664-0800: 5.815: [GC (Allocation Failure) 2021-01-19T14:20:10.664-0800: 5.815: [DefNew: 2516543K->279615K(2516544K), 0.0845492 secs] 3351823K->1199325K(8108992K), 0.0846361 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-19T14:20:11.026-0800: 6.178: [GC (Allocation Failure) 2021-01-19T14:20:11.026-0800: 6.178: [DefNew: 2516543K->279615K(2516544K), 0.0891550 secs] 3436253K->1292343K(8108992K), 0.0892253 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:11.380-0800: 6.531: [GC (Allocation Failure) 2021-01-19T14:20:11.380-0800: 6.531: [DefNew: 2516543K->279615K(2516544K), 0.0783983 secs] 3529271K->1364207K(8108992K), 0.0784795 secs] [Times: user=0.06 sys=0.02, real=0.07 secs] 
2021-01-19T14:20:11.727-0800: 6.878: [GC (Allocation Failure) 2021-01-19T14:20:11.727-0800: 6.878: [DefNew: 2516543K->279615K(2516544K), 0.0888164 secs] 3601135K->1452997K(8108992K), 0.0889409 secs] [Times: user=0.06 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:12.123-0800: 7.274: [GC (Allocation Failure) 2021-01-19T14:20:12.123-0800: 7.274: [DefNew: 2516543K->279615K(2516544K), 0.0889293 secs] 3689925K->1537964K(8108992K), 0.0890665 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:12.488-0800: 7.640: [GC (Allocation Failure) 2021-01-19T14:20:12.488-0800: 7.640: [DefNew: 2516543K->279615K(2516544K), 0.1033044 secs] 3774892K->1624681K(8108992K), 0.1033960 secs] [Times: user=0.07 sys=0.02, real=0.11 secs] 
2021-01-19T14:20:12.905-0800: 8.056: [GC (Allocation Failure) 2021-01-19T14:20:12.905-0800: 8.057: [DefNew: 2516543K->279615K(2516544K), 0.1207737 secs] 3861609K->1692937K(8108992K), 0.1208590 secs] [Times: user=0.07 sys=0.02, real=0.12 secs] 
