Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(194288k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-18T10:13:03.194-0800: 0.132: [GC (Allocation Failure) [PSYoungGen: 131051K->21499K(153088K)] 131051K->43123K(502784K), 0.0107445 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.224-0800: 0.161: [GC (Allocation Failure) [PSYoungGen: 153083K->21487K(153088K)] 174707K->79270K(502784K), 0.0134793 secs] [Times: user=0.03 sys=0.07, real=0.01 secs] 
2021-01-18T10:13:03.253-0800: 0.190: [GC (Allocation Failure) [PSYoungGen: 153071K->21502K(153088K)] 210854K->124222K(502784K), 0.0131994 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.281-0800: 0.218: [GC (Allocation Failure) [PSYoungGen: 153086K->21503K(153088K)] 255806K->169714K(502784K), 0.0140439 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.310-0800: 0.247: [GC (Allocation Failure) [PSYoungGen: 153087K->21502K(153088K)] 301298K->215206K(502784K), 0.0142429 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.340-0800: 0.277: [GC (Allocation Failure) [PSYoungGen: 152335K->21497K(80384K)] 346039K->251439K(430080K), 0.0121129 secs] [Times: user=0.04 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.359-0800: 0.296: [GC (Allocation Failure) [PSYoungGen: 80328K->35573K(116736K)] 310271K->270261K(466432K), 0.0048042 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.372-0800: 0.310: [GC (Allocation Failure) [PSYoungGen: 94226K->46222K(116736K)] 328915K->288461K(466432K), 0.0078219 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.390-0800: 0.327: [GC (Allocation Failure) [PSYoungGen: 104937K->54918K(116736K)] 347175K->304579K(466432K), 0.0078496 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2021-01-18T10:13:03.408-0800: 0.346: [GC (Allocation Failure) [PSYoungGen: 113778K->37324K(116736K)] 363439K->320207K(466432K), 0.0123920 secs] [Times: user=0.03 sys=0.05, real=0.02 secs] 
2021-01-18T10:13:03.430-0800: 0.367: [GC (Allocation Failure) [PSYoungGen: 96204K->25487K(116736K)] 379087K->343012K(466432K), 0.0118960 secs] [Times: user=0.03 sys=0.04, real=0.01 secs] 
2021-01-18T10:13:03.442-0800: 0.379: [Full GC (Ergonomics) [PSYoungGen: 25487K->0K(116736K)] [ParOldGen: 317525K->244468K(349696K)] 343012K->244468K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0364830 secs] [Times: user=0.18 sys=0.01, real=0.03 secs] 
2021-01-18T10:13:03.492-0800: 0.430: [GC (Allocation Failure) [PSYoungGen: 58880K->22149K(116736K)] 303348K->266617K(466432K), 0.0031864 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-18T10:13:03.508-0800: 0.445: [GC (Allocation Failure) [PSYoungGen: 80827K->22126K(116736K)] 325295K->287357K(466432K), 0.0060632 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-01-18T10:13:03.524-0800: 0.462: [GC (Allocation Failure) [PSYoungGen: 80356K->22475K(116736K)] 345587K->308425K(466432K), 0.0066798 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-01-18T10:13:03.543-0800: 0.480: [GC (Allocation Failure) [PSYoungGen: 81355K->20665K(116736K)] 367305K->328344K(466432K), 0.0060390 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2021-01-18T10:13:03.549-0800: 0.486: [Full GC (Ergonomics) [PSYoungGen: 20665K->0K(116736K)] [ParOldGen: 307678K->271071K(349696K)] 328344K->271071K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0327359 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:03.591-0800: 0.529: [GC (Allocation Failure) [PSYoungGen: 58750K->20695K(116736K)] 329822K->291766K(466432K), 0.0040260 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-18T10:13:03.602-0800: 0.540: [GC (Allocation Failure) [PSYoungGen: 79575K->25256K(116736K)] 350646K->316506K(466432K), 0.0058588 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-01-18T10:13:03.615-0800: 0.553: [GC (Allocation Failure) [PSYoungGen: 84033K->24317K(116736K)] 375284K->339132K(466432K), 0.0059093 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-01-18T10:13:03.621-0800: 0.559: [Full GC (Ergonomics) [PSYoungGen: 24317K->0K(116736K)] [ParOldGen: 314815K->295993K(349696K)] 339132K->295993K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0342205 secs] [Times: user=0.20 sys=0.01, real=0.03 secs] 
2021-01-18T10:13:03.663-0800: 0.600: [GC (Allocation Failure) [PSYoungGen: 58880K->16468K(116736K)] 354873K->312461K(466432K), 0.0027982 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-18T10:13:03.673-0800: 0.610: [GC (Allocation Failure) [PSYoungGen: 75004K->22062K(116736K)] 370997K->333171K(466432K), 0.0045388 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-01-18T10:13:03.677-0800: 0.615: [Full GC (Ergonomics) [PSYoungGen: 22062K->0K(116736K)] [ParOldGen: 311108K->305683K(349696K)] 333171K->305683K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0337025 secs] [Times: user=0.19 sys=0.00, real=0.04 secs] 
