Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(4428k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-18T10:11:48.160-0800: 1.147: [GC (Allocation Failure) 2021-01-18T10:11:48.160-0800: 1.147: [DefNew: 2236928K->279615K(2516544K), 0.1830736 secs] 2236928K->330432K(8108992K), 0.1832426 secs] [Times: user=0.10 sys=0.08, real=0.18 secs] 
2021-01-18T10:11:48.640-0800: 1.627: [GC (Allocation Failure) 2021-01-18T10:11:48.640-0800: 1.627: [DefNew: 2516543K->279615K(2516544K), 0.1968482 secs] 2567360K->418666K(8108992K), 0.1969470 secs] [Times: user=0.10 sys=0.08, real=0.19 secs] 
2021-01-18T10:11:49.090-0800: 2.077: [GC (Allocation Failure) 2021-01-18T10:11:49.090-0800: 2.077: [DefNew: 2516543K->279615K(2516544K), 0.0906495 secs] 2655594K->498674K(8108992K), 0.0907377 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-18T10:11:49.434-0800: 2.421: [GC (Allocation Failure) 2021-01-18T10:11:49.434-0800: 2.421: [DefNew: 2516543K->279615K(2516544K), 0.0834971 secs] 2735602K->577331K(8108992K), 0.0835928 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-18T10:11:49.760-0800: 2.746: [GC (Allocation Failure) 2021-01-18T10:11:49.760-0800: 2.746: [DefNew: 2516543K->279615K(2516544K), 0.0943833 secs] 2814259K->671573K(8108992K), 0.0944767 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-18T10:11:50.100-0800: 3.087: [GC (Allocation Failure) 2021-01-18T10:11:50.100-0800: 3.087: [DefNew: 2516543K->279615K(2516544K), 0.0874178 secs] 2908501K->752063K(8108992K), 0.0875055 secs] [Times: user=0.07 sys=0.02, real=0.08 secs] 
2021-01-18T10:11:50.442-0800: 3.429: [GC (Allocation Failure) 2021-01-18T10:11:50.442-0800: 3.429: [DefNew: 2516543K->279614K(2516544K), 0.0856395 secs] 2988991K->830750K(8108992K), 0.0857379 secs] [Times: user=0.07 sys=0.02, real=0.08 secs] 
2021-01-18T10:11:50.776-0800: 3.763: [GC (Allocation Failure) 2021-01-18T10:11:50.776-0800: 3.763: [DefNew: 2516542K->279614K(2516544K), 0.0803759 secs] 3067678K->905176K(8108992K), 0.0804705 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-18T10:11:51.100-0800: 4.087: [GC (Allocation Failure) 2021-01-18T10:11:51.100-0800: 4.087: [DefNew: 2516542K->279615K(2516544K), 0.0914415 secs] 3142104K->990257K(8108992K), 0.0915369 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-18T10:11:51.445-0800: 4.432: [GC (Allocation Failure) 2021-01-18T10:11:51.445-0800: 4.432: [DefNew: 2516543K->279615K(2516544K), 0.0986244 secs] 3227185K->1086742K(8108992K), 0.0987262 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-18T10:11:51.785-0800: 4.772: [GC (Allocation Failure) 2021-01-18T10:11:51.785-0800: 4.772: [DefNew: 2516543K->279615K(2516544K), 0.0838910 secs] 3323670K->1164158K(8108992K), 0.0839895 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-18T10:11:52.116-0800: 5.103: [GC (Allocation Failure) 2021-01-18T10:11:52.116-0800: 5.103: [DefNew: 2516543K->279615K(2516544K), 0.0806746 secs] 3401086K->1233685K(8108992K), 0.0807691 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
